Date,BNDX,EMB,MUB,VAW,VEA,VHT,VWO,EFA,EEM,VGIT
6/4/2015,45.90153503,35.2961235,55.31322098,82.78585052,93.88834381,97.62314606,34.17408371,57.4094696,125.9018936,34.9223938
6/5/2015,45.85770416,35.13843918,54.65532684,82.34449768,93.63659668,97.39459229,33.80036926,57.11532974,126.0198212,34.75461197
6/8/2015,45.78762817,35.12967682,54.58037567,82.14250183,93.62794495,97.00786591,33.76714706,57.21337128,125.4663696,34.73783112
6/9/2015,45.70001984,34.91942215,54.2805748,81.8358078,93.41963959,97.04302216,33.57613373,57.10641098,125.2757874,34.48618317
6/10/2015,45.56858826,35.42753983,55.42148972,81.54410553,93.44568634,98.0274353,34.27374268,56.94596863,126.7366562,34.98950958
6/11/2015,45.71753693,35.25231934,55.57139206,81.76104736,93.67133331,98.25595093,34.37340164,57.17771912,127.6077957,34.84690094
6/12/2015,45.84896469,35.25231934,55.13000107,81.87320709,93.81017303,97.75494385,34.09933472,57.1866188,126.1741104,34.85527802
6/15/2015,45.86647797,34.85810089,54.79690933,81.46925354,93.84490967,96.96391296,33.88342285,57.28467178,126.2194595,34.50295258
6/16/2015,45.73506165,34.86685944,54.78024673,81.45430756,94.00981903,97.51764679,33.875103,57.36489105,126.8274612,34.57845306
6/17/2015,45.84019089,35.07712173,54.65532684,81.81340027,93.98376465,97.8604126,33.78376007,57.48075867,127.0542984,34.79656219
6/18/2015,45.73506165,35.40124893,55.14666748,82.23227692,93.95774078,98.67785645,34.10765076,57.46294785,129.0506134,35.10694122
6/19/2015,45.90153503,35.09463882,55.01342392,82.4417038,94.12260437,98.23838806,34.03290176,57.65903473,128.9779816,34.7881813
6/22/2015,45.71753693,35.60273743,56.05439758,82.56141663,93.83620453,98.36143494,34.62253952,57.36489105,130.0759277,35.24116135
6/23/2015,45.77885818,35.95316315,56.20429611,82.53147888,93.81017303,98.20321655,34.74710846,57.28467178,130.2483215,35.55995178
6/24/2015,45.77885818,35.69910812,55.72129059,82.6062851,94.06184387,97.07817841,34.4647522,57.36489105,128.8418427,35.37538147
6/25/2015,45.79639435,35.57642746,55.69672012,82.49407196,93.95774078,96.9990921,34.45644379,57.26682663,129.5042572,35.24954987
6/26/2015,45.64742279,35.24105453,55.67131805,82.23227692,93.84490967,96.74420929,34.42533493,57.15100479,129.2410889,34.92443848
6/29/2015,45.73506165,34.45556259,53.9607048,82.01533508,94.244133,94.39742279,33.39105606,57.5520401,126.2376022,34.15398788
6/30/2015,45.88401794,34.96746063,53.76592636,82.22479248,93.91433716,94.61715698,33.34059906,57.47186661,126.9998245,34.61117935
7/1/2015,45.80680847,34.94098282,54.11312866,82.5266571,93.92565155,94.86328125,33.55922318,57.27638245,127.8255234,34.61117935
7/2/2015,45.65766144,35.10866547,54.18087769,82.57923889,94.06481934,94.62595367,33.64330673,57.46380615,127.3990784,34.77204514
7/6/2015,45.72786331,34.12901306,53.0884552,82.23384094,94.21265411,93.74700928,32.95380783,57.70481873,127.4716873,33.80686188
7/7/2015,46.00856018,33.61713028,53.10539246,82.17375183,94.19524384,93.50091553,32.94539642,57.72266006,127.9616776,33.29040527
7/8/2015,45.97348785,32.46095657,51.86901093,82.01603699,94.54318237,91.43541718,32.14656067,57.89226151,125.7385483,32.06275177
7/9/2015,45.95593643,33.08758163,52.72431183,82.20375824,94.39530945,91.64635468,32.66791153,57.6601944,126.4825897,32.7146759
7/10/2015,45.87697601,33.92602539,54.45186615,82.5116272,94.2909317,92.96479797,33.66014481,57.42811966,128.1976166,33.63752747
7/13/2015,45.85945129,34.1554985,54.65511322,82.38399506,94.24745178,94.07223511,33.80308533,57.32994843,129.4679871,33.84918976
